wl,f171,f491,f609,f283,f792,f23,f406,f883,f452,f972,f719,f517,f251,f315,f143,f923,f603,f305,f512,f309,f948,f502,f382,f903,f969,f73,f46,f833,f764,f886,f12,f359,f560,f300,f899,f454,f696,f423,f2,f811,f979,f690,f158,f52,f752
300.06,0.059,-1.265,-0.168,0.097,2.197,2.788,2.352,-0.043,1.029,0.608,2.631,1.604,3.396,2.789,2.649,1.139,23.01,2.133,5.44,2.969,0.061,3.044,0.689,1.496,2.808,1.062,1.938,1.499,31.346,6.212,3.477,1.956,3.142,2.621,3.892,1.105,2.664,12.059,3.553,1.679,0.476,1.956,1.607,0.918,1.997
300.43,0.06,-1.114,-0.173,0.108,2.161,2.79,2.391,-0.022,1.102,0.683,2.723,1.504,3.566,2.781,2.502,0.984,23.503,2.177,5.581,3.28,0.15,3.224,0.793,1.339,2.69,1.044,2.022,1.478,31.972,6.155,3.583,1.835,3.005,2.486,3.913,1.276,2.761,12.239,3.481,1.673,0.489,1.942,1.616,0.906,2.052
300.81,0.258,-1.134,0.101,0.36,2.307,2.608,2.333,-0.127,0.837,0.879,2.74,1.272,3.486,2.631,2.303,0.983,24.006,2.359,5.89,3.071,0.034,3.016,0.429,1.484,2.73,1.053,1.979,1.363,32.568,6.364,3.451,1.791,2.937,2.288,3.942,1.288,2.805,12.298,3.519,1.726,0.383,2.019,1.596,1.004,2.088
301.19,0.295,-1.224,-0.076,0.375,2.594,2.688,2.335,-0.3,0.841,1.145,2.765,1.251,3.176,2.433,2.334,0.948,24.352,2.114,5.908,3.158,0.153,2.993,0.384,1.706,2.758,1.043,2.119,1.335,33.331,6.333,3.521,1.753,2.834,2.293,3.939,1.313,2.856,12.631,3.506,1.728,0.447,1.964,1.479,0.961,2.039
301.56,0.315,-1.302,0.051,0.323,2.708,2.407,2.229,-0.23,0.659,1.113,2.628,1.159,2.9,2.255,2.422,0.897,24.773,2.126,6.081,3.359,0.13,3.219,0.168,1.62,2.65,1.043,2.105,1.317,34.18,6.382,3.487,1.778,3.059,2.307,4.042,1.312,2.914,12.945,3.336,1.667,0.603,1.96,1.622,0.797,2.054
301.94,0.4,-1.272,-0.09,0.636,2.919,2.327,2.196,-0.293,0.779,1.043,2.478,1.231,2.836,2.153,2.579,0.879,25.292,1.817,6.207,3.383,-0.025,3.243,0.264,1.601,2.658,1.073,2.095,1.348,34.853,6.469,3.603,1.868,3.146,2.372,4.086,1.294,2.845,13.284,3.241,1.574,0.6,1.925,1.751,0.899,2.087
302.32,0.399,-1.393,-0.025,0.621,2.899,2.277,2.151,-0.422,0.496,0.691,2.403,1.048,2.976,1.955,2.497,0.964,25.738,1.73,6.178,3.488,-0.011,3.518,0.417,1.565,2.768,0.919,2.064,1.344,35.658,6.661,3.698,1.921,3.254,2.558,4.331,1.345,2.75,13.593,3.279,1.477,0.406,1.813,1.704,0.814,2.239
302.7,0.163,-1.596,0.199,0.399,2.756,2.456,2.081,-0.341,0.374,0.597,2.363,1.019,2.702,1.949,2.453,0.995,26.469,1.807,6.52,3.812,-0.038,3.85,0.703,1.427,3.034,1.172,2.042,1.355,36.315,6.442,3.605,2.036,3.054,2.371,4.337,1.388,2.65,13.895,3.271,1.392,0.682,1.86,1.643,0.603,2.236
303.07,0.102,-1.46,0.314,0.584,2.676,2.407,2.099,-0.148,0.227,0.534,2.399,1.154,2.549,1.957,2.554,0.962,26.805,1.91,6.707,3.821,-0.246,3.798,0.738,1.388,3.017,1.136,2.108,1.31,36.488,6.688,3.611,1.906,2.707,2.33,4.244,1.285,2.501,14.154,3.338,1.29,0.83,1.858,1.722,0.479,2.364
303.45,0.173,-1.543,0.357,0.668,2.649,2.545,2.297,-0.025,0.123,0.513,2.439,1.1,2.739,2.001,2.515,0.935,27.169,1.74,7.07,3.82,-0.281,3.812,0.625,1.379,2.927,1.114,2.11,1.312,37.142,6.719,3.628,1.88,2.637,2.466,4.359,1.313,2.651,14.358,3.249,1.337,0.746,1.72,1.756,0.463,2.256
303.83,0.245,-1.533,0.175,0.681,2.507,2.548,2.586,-0.085,-0.016,0.658,2.518,1.127,2.638,1.928,2.584,0.929,27.475,1.742,7.55,4.057,-0.283,3.952,0.725,1.517,3.011,1.31,1.978,1.215,37.694,6.712,3.658,1.918,2.636,2.562,4.389,1.246,2.577,14.446,3.217,1.224,0.761,1.676,1.711,0.453,2.306
304.2,0.156,-1.339,-0.2,0.872,2.555,2.478,2.114,0.06,0.368,0.763,2.576,1.161,2.492,1.804,2.583,0.96,27.841,1.779,8.059,4.194,-0.338,4.17,0.856,1.534,2.836,1.113,2.174,1.418,38.079,6.559,3.562,2.007,2.813,2.548,4.397,1.248,2.73,14.547,2.935,1.292,0.76,1.482,1.531,0.518,2.366
