wl,g198_w,g498_w,g170_w,g934_w,g63_w,g454_w,g241_w,g5_w,g546_w,g968_w,g608_y,g654_y,g668_y,g16_y,g942_y,g859_y,g630_y,g674_y,g947_y,g354_y,g518_y,g181_y,g843_y,g26_y,g435_y,g64_y,g398_y,g604_y,g477_y,g227_y,g720_y,g357_y,g162_y,g607_y,g597_y,g65_y,g856_w,g728_w,g414_w,g871_w,g874_w,g741_w,g614_y,g168_y,g661_y
300,4.452692374,3.291143556,2.701344323,3.797633035,3.609803595,3.606513509,7.033788896,5.313889339,3.206993766,5.546705286,5.758676984,5.150599078,5.2929875,5.529239003,5.742398416,5.145531931,5.040309234,7.614428129,5.302919859,5.109122937,5.24108161,5.182659237,5.909111203,5.144985196,5.174536077,5.244868267,5.318663935,5.262396321,5.304669346,6.02345548,5.103374217,5.284688032,5.219080806,10.37129177,5.654442335,5.490549244,6.690434997,5.008854617,5.036730674,5.942046626,5.814680748,5.521087613,2.396549342,9.516612913,6.06200539
301,4.466395035,3.311671691,2.707381091,3.786939612,3.614630118,3.624826582,7.069130988,5.329672504,3.214271042,5.584481212,5.742072661,5.159359615,5.319730766,5.499619523,5.697612273,5.155196026,5.041016428,7.589153328,5.330571276,5.103542447,5.227475365,5.171088434,5.877713308,5.154271701,5.196120546,5.266646641,5.347697497,5.286446979,5.324773903,5.967781526,5.108737593,5.266609625,5.203812521,10.28590814,5.677561748,5.520288899,6.642501343,5.017995461,5.047005328,5.926984636,5.801786503,5.492872781,2.443914433,9.483566103,6.059105784
302,4.47914518,3.33130608,2.71293731,3.775888908,3.618732879,3.642082673,7.103480642,5.344990818,3.221052072,5.621384521,5.725644626,5.168354871,5.346832649,5.471138444,5.654725232,5.165074253,5.042210402,7.563792835,5.358593388,5.098433031,5.214678195,5.160494738,5.846938952,5.163775143,5.217145916,5.287883253,5.377123763,5.310813616,5.345331008,5.913899849,5.114268953,5.249434745,5.189416898,10.20103911,5.700115072,5.549318484,6.595782876,5.029154097,5.059295827,5.912239258,5.789159986,5.466780549,2.49008204,9.450569463,6.055715125
303,4.49091844,3.350028005,2.71800283,3.764464245,3.622103014,3.658277158,7.1368503,5.359847827,3.227318124,5.657407591,5.709368827,5.177572598,5.374260908,5.443803972,5.613745864,5.175153756,5.043894801,7.53833928,5.38695286,5.093790864,5.20268786,5.15087155,5.816766056,5.173483006,5.237597378,5.308571311,5.406907625,5.335467432,5.366315785,5.861825457,5.119960441,5.233158368,5.175887131,10.11666594,5.722104996,5.577639759,6.550366149,5.042424735,5.073695539,5.897769241,5.776765406,5.44291129,2.535056291,9.417593736,6.051829762
304,4.501690444,3.367818745,2.722567498,3.752648947,3.624731661,3.673405417,7.169252403,5.374247074,3.233050464,5.692542797,5.693221213,5.187000547,5.401983302,5.417624314,5.574682738,5.185421681,5.046073272,7.512785293,5.41561636,5.089612124,5.19150212,5.142212272,5.787172544,5.183382773,5.25746012,5.328704023,5.437013976,5.360379628,5.387703356,5.81157336,5.125804199,5.21777547,5.163216418,10.03276987,5.74353421,5.605254485,6.506337715,5.057901588,5.090297832,5.883533335,5.764566974,5.421365375,2.578841317,9.384609665,6.047446046
305,4.511436823,3.384659584,2.726621164,3.740426338,3.626609959,3.687462826,7.200699395,5.388192104,3.238230359,5.726782514,5.677177731,5.196626469,5.429967589,5.392607675,5.537544426,5.195865174,5.048749461,7.487123505,5.444550554,5.085892987,5.181118738,5.134510309,5.75813634,5.193461928,5.276719329,5.348274597,5.467407709,5.385521403,5.409468845,5.763158566,5.13179237,5.203281027,5.151397953,9.949332173,5.764405405,5.632164423,6.463784127,5.075678865,5.109196076,5.869490288,5.752528899,5.402243178,2.621441245,9.351587996,6.042560326
306,4.520133207,3.400531802,2.730153675,3.727779742,3.627729046,3.700444763,7.231203717,5.401686462,3.242839074,5.760119119,5.661214329,5.206438113,5.458181529,5.368762262,5.502339499,5.20647138,5.051927014,7.461346547,5.47372211,5.082629629,5.171535475,5.127759061,5.729635367,5.203707953,5.295360195,5.367276241,5.498053719,5.410863959,5.431587374,5.716596083,5.137917098,5.189670014,5.140424931,9.866334092,5.784721272,5.658371333,6.422791939,5.095850777,5.130483639,5.85559885,5.740615391,5.385645071,2.662860207,9.318499471,6.037168951
307,4.527755225,3.415416679,2.733154879,3.714692482,3.628080058,3.712346607,7.260777811,5.414733691,3.246857876,5.792544989,5.645306954,5.216423232,5.486592879,5.34609628,5.469076527,5.217227443,5.055609577,7.435447049,5.503097694,5.079818228,5.16275009,5.121951932,5.701647548,5.214108331,5.313367907,5.385702162,5.528916897,5.436378495,5.454034066,5.671900919,5.144170524,5.176937408,5.130290548,9.783756883,5.804484501,5.683876976,6.383447703,5.118511535,5.154253891,5.841817769,5.72879066,5.371671426,2.703102332,9.285314835,6.031268272
308,4.534278508,3.429295498,2.735614626,3.701147883,3.627654134,3.723163735,7.289434119,5.427337336,3.250268032,5.824052497,5.629431556,5.226569575,5.515169399,5.324617937,5.437764081,5.22812051,5.059800795,7.409417641,5.532643973,5.07745496,5.154760346,5.117082325,5.674150807,5.224650547,5.330727652,5.403545571,5.559962138,5.462036212,5.476784044,5.629088083,5.150544792,5.165078185,5.120987999,9.701581801,5.823697782,5.708683112,6.345837973,5.14375535,5.180600199,5.828105794,5.717018917,5.360422615,2.742171748,9.252004833,6.024854638
309,4.539678686,3.442149539,2.737522764,3.687129267,3.626442412,3.732891525,7.317185085,5.439500941,3.253050808,5.854634021,5.613564081,5.236864893,5.543878847,5.304335436,5.408410732,5.239137726,5.064504316,7.383250954,5.562327615,5.075536003,5.147564003,5.113143641,5.647123067,5.235322083,5.347424619,5.420799673,5.591154335,5.48780831,5.499812432,5.588172583,5.157032045,5.154087319,5.11251048,9.619790098,5.842363805,5.732791503,6.310049301,5.171676432,5.209615933,5.814421675,5.70526437,5.351999012,2.780072586,9.218540207,6.017924398
310,4.543931388,3.453960085,2.738869141,3.672619959,3.624436029,3.741525355,7.344043149,5.451228051,3.25518747,5.884281937,5.597680478,5.247296938,5.572688982,5.285256986,5.38102505,5.250266236,5.069723784,7.356939619,5.592115286,5.074057531,5.141158822,5.110129283,5.620542251,5.246110423,5.363443998,5.437457678,5.62245838,5.51366599,5.523094351,5.549169429,5.163624426,5.143959788,5.104851185,9.538363029,5.860485261,5.756203908,6.276168241,5.202368991,5.241394462,5.800724159,5.693491229,5.346500987,2.816808975,9.184891703,6.010473903
311,4.547012245,3.464708415,2.739643605,3.657603282,3.621626124,3.749060603,7.370020754,5.46252221,3.256659286,5.91298862,5.581756694,5.25785346,5.601567564,5.267390791,5.355615606,5.261493186,5.075462846,7.330476265,5.621973653,5.073015724,5.135542565,5.108032654,5.594386284,5.257003049,5.378770975,5.453512793,5.653839168,5.539580452,5.546604925,5.512093627,5.170314078,5.134690567,5.098003311,9.457281849,5.878064841,5.778922089,6.244281347,5.23592724,5.276029154,5.786971997,5.681663705,5.344028915,2.852385044,9.151030063,6.002499501
312,4.548896886,3.474375811,2.739836005,3.64206256,3.618003834,3.755492647,7.395130342,5.473386963,3.25744752,5.940746447,5.565768678,5.268522209,5.63048235,5.250745058,5.332190971,5.27280572,5.081725148,7.303853524,5.651869383,5.072406756,5.130712993,5.106847156,5.568633087,5.267987446,5.393390741,5.468958226,5.685261592,5.565522896,5.570319277,5.476960187,5.177093143,5.126274632,5.091960053,9.37652781,5.895105235,5.800947805,6.21447517,5.272445387,5.313613378,5.773123937,5.669746007,5.344683166,2.886804923,9.116926032,5.993997543
313,4.549565025,3.482946804,2.73944413,3.625986802,3.613560097,3.76080534,7.419388545,5.483831541,3.257535565,5.96755377,5.549708227,5.279292757,5.65942522,5.23533449,5.310788709,5.28419526,5.088522351,7.277074993,5.681794083,5.072245636,5.126691741,5.106587239,5.543290043,5.279054636,5.407299123,5.483784853,5.716716748,5.591486179,5.594236592,5.443813446,5.183953642,5.1187317,5.086739441,9.296107887,5.911588136,5.822261897,6.186850403,5.31208939,5.354304507,5.759161123,5.657720865,5.34861866,2.920072645,9.082586439,5.984970752
314,4.549041666,3.490440874,2.73848333,3.609395555,3.608302375,3.764993208,7.442786899,5.493856853,3.256941337,5.99342209,5.533610115,5.290177436,5.688444975,5.221156582,5.291424417,5.295676745,5.095857614,7.250156228,5.711798206,5.072551364,5.123500437,5.107275889,5.518401006,5.290218642,5.420518517,5.497997037,5.748257725,5.617513978,5.618398839,5.412663544,5.190902393,5.112086437,5.082367827,9.21606001,5.927493826,5.842845608,6.161338526,5.354831429,5.398068891,5.745139928,5.645636435,5.355787244,2.952183967,9.048066646,5.975427734
315,4.547370382,3.496891726,2.73696979,3.592317949,3.602246588,3.768067638,7.465300205,5.50345396,3.255697896,6.0183635,5.517514752,5.301198142,5.717594751,5.208193727,5.274073713,5.307272602,5.103721825,7.223107803,5.741936688,5.073326103,5.121136824,5.108919313,5.493998608,5.301501444,5.433073959,5.511608222,5.779942398,5.643653728,5.64284531,5.38347419,5.197953741,5.106341238,5.078850891,9.136411869,5.942822879,5.862701311,6.13777227,5.400475055,5.44471336,5.73113195,5.633555069,5.365984682,2.983130601,9.0134102,5.965373667
